Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,BCOIN,United States,,No,,$3.0000,Ethereum,,$0.33,,United States,,,bannercoin,https://icowatchlist.com/ico/bannercoin
,ATL,Russian Federation,,No,,$0.5900,Ethereum,,$0.02,-96.58%,United States,"$6,500,000",,atlant,https://icowatchlist.com/ico/atlant
,ALDO,United Kingdom,,No,,$0.9700,Blockchain,,,,United States,,,aldoin,https://icowatchlist.com/ico/aldoin
,DCN,Netherlands,,No,,$0.0000,Ethereum,,$0.00,,United States,,,dentacoin,https://icowatchlist.com/ico/dentacoin
,ENO,Panama,,No,,$1.6700,Ethereum,,$0.03,,United States,,,ethino,https://icowatchlist.com/ico/ethino
,RCN,Cayman Islands,,No,,$0.0750,Ethereum,,$0.03,,United States,,,ripiocreditnetwork,https://icowatchlist.com/ico/ripiocreditnetwork
,TKT,Russian Federation,,No,,$0.0400,Ethereum,,,,United States,,,cryptotickets,https://icowatchlist.com/ico/cryptotickets
,UTK,Switzerland,,No,,$0.0650,Ethereum,,$0.03,-60.14%,United States,"$21,000,000",,utrust,https://icowatchlist.com/ico/utrust
,STAR,Singapore,,No,,$0.0000,Ethereum,,$0.03,,United States,,,starbase,https://icowatchlist.com/ico/starbase
,QVT,Unknown,,No,,$0.0041,Ethereum,,$0.01,69.98%,United States,"$715,000","218,750,000",qvolta,https://icowatchlist.com/ico/qvolta
,ALTC,Unknown,,No,,$0.0000,Waves,,$0.00,,United States,,,altocar,https://icowatchlist.com/ico/altocar
,HIVE,Unknown,,No,,$0.6000,Ethereum,,,,United States,,,cryptohive,https://icowatchlist.com/ico/cryptohive
,PBC,United States,,No,,$0.0700,Blockchain,,$0.00,,United States,,,blockstack,https://icowatchlist.com/ico/blockstack
,GVT,Ireland,,No,,$1.0000,Ethereum,,$4.18,,United States,,,genesisvision,https://icowatchlist.com/ico/genesisvision
,CDRT,United Kingdom,,No,,$1.1800,Ethereum,,$0.03,,United States,,,crederoom,https://icowatchlist.com/ico/crederoom
,PRIX,Unknown,,No,,$3.0000,Ethereum,,$0.55,-81.51%,United States,"$4,731,816",,privatix,https://icowatchlist.com/ico/privatix
,XCPO,India,,No,,$0.0065,Bitcoin Fork,,$0.02,,United States,,,copico,https://icowatchlist.com/ico/copico
,AMM,Myanmar,,No,,$1.0000,Ethereum,,$0.01,-99.22%,United States,"$10,500,000",,micromoney,https://icowatchlist.com/ico/micromoney
,CRN,Switzerland,,No,,$0.2300,Ethereum,,,,United States,,,careerxon,https://icowatchlist.com/ico/careerxon
,CASH,Unknown,,No,,$0.0000,Ethereum,,$0.01,,United States,,,cashpoker,https://icowatchlist.com/ico/cashpoker
,HAW,Lithuania,,No,,$0.0600,Ethereum,,,,United States,,,happiestatwork,https://icowatchlist.com/ico/happiestatwork
,SYN,United States,,No,,$0.0450,Ethereum,,,,United States,,,synapse,https://icowatchlist.com/ico/synapse
,WAND,Singapore,,No,,$0.0900,Ethereum,,$0.02,,United States,,,wandx,https://icowatchlist.com/ico/wandx
,BID,Australia,,No,,$1.0000,Ethereum,,,,United States,,,blockbid,https://icowatchlist.com/ico/blockbid
,CDL,Ireland,,No,,$0.3000,Ethereum,,,,United States,,,confideal,https://icowatchlist.com/ico/confideal
,SCF,Lithuania,,No,,$0.0570,Ethereum,,,,United States,,,safechildfuture,https://icowatchlist.com/ico/safechildfuture
,MBT,Russian Federation,,No,,$1.0000,Ethereum,,,,United States,,,multibot,https://icowatchlist.com/ico/multibot
,ZET,Germany,,No,,$1.1600,Ethereum,,$0.01,,United States,,,zeus,https://icowatchlist.com/ico/zeus
,BON,United Kingdom,,No,,$0.6000,Ethereum,,$0.00,,United States,,,bonpay,https://icowatchlist.com/ico/bonpay
,WAX,Canada,,No,,$0.5000,Ethereum,,$0.06,,United States,,,wax,https://icowatchlist.com/ico/wax
,STORM,Unknown,"$50,000,000",No,,$0.0100,Ethereum,,$0.00,,United States,,"7,500,000,000",storm,https://icowatchlist.com/ico/storm
,PKT,Russian Federation,,No,,$2.7000,Ethereum,,$0.03,-98.90%,United States,"$10,512,361",,playkeyio,https://icowatchlist.com/ico/playkeyio
,SENSE,United States,,No,,$0.1000,Ethereum,,,,United States,,,sense,https://icowatchlist.com/ico/sense
,VZT,United States,"$15,000,000",Yes,Yes,$0.5000,Ethereum,,,,United States,"$1,380,644","50,000,000",vezt-ico,https://icowatchlist.com/ico/vezt-ico
,COP,Lithuania,,No,,$0.0150,Ethereum,,$0.00,,United States,,,coppay,https://icowatchlist.com/ico/coppay
,CCO,Armenia,,No,,$0.3000,Ethereum,,$0.02,,United States,,,ccore,https://icowatchlist.com/ico/ccore
,PBL,Unknown,,No,,$1.0000,Ethereum,,$0.02,-97.95%,United States,"$1,000,000",,publica,https://icowatchlist.com/ico/publica
,DMT,Ukraine,,No,,$0.4000,Blockchain,,,,United States,,,dmarket,https://icowatchlist.com/ico/dmarket
,UCN,Singapore,,No,,$0.2000,Ethereum,,,,United States,,,verifyunion,https://icowatchlist.com/ico/verifyunion
,GEE,Lithuania,,No,,$0.1800,Ethereum,,,,United States,,,geens,https://icowatchlist.com/ico/geens
,JBX,United States,,No,,$0.2000,Ethereum,,,,United States,,,jboxcoin,https://icowatchlist.com/ico/jboxcoin
,DIMND,Belize,,No,,$7.5000,Ethereum,,,,United States,,,dimnd,https://icowatchlist.com/ico/dimnd
,PLM,Switzerland,,No,,$3.0000,Ethereum,,,,United States,,,algoland,https://icowatchlist.com/ico/algoland
,ATK,United States,,No,,$1.0000,Blockchain,,,,United States,,,amlbitcoin,https://icowatchlist.com/ico/amlbitcoin
,WRC,Czech Republic,,No,,$0.1000,Ethereum,,$0.00,-95.97%,United States,"$25,560,000",,worldcore,https://icowatchlist.com/ico/worldcore
,PHI,United States,,No,,$0.0000,Ethereum,,,,United States,,,delphisystems,https://icowatchlist.com/ico/delphisystems
,AIX,Unknown,,No,,$3.0000,Ethereum,,$0.01,,United States,,,aigang,https://icowatchlist.com/ico/aigang
,MED,Gibraltar,,No,,$0.0050,Other,,$0.00,,United States,,,medibloc,https://icowatchlist.com/ico/medibloc
,NGC,Germany,,No,,$1.0000,Ethereum,,$0.06,,United States,,,nagagroup,https://icowatchlist.com/ico/nagagroup
,XRED,United Kingdom,,No,,$1.0000,Ethereum,,,,United States,,,xred,https://icowatchlist.com/ico/xred
,VEGA,United States,,No,,$0.4700,Ethereum,,$0.00,-99.99%,United States,"$323,450",,vegaaisolutions,https://icowatchlist.com/ico/vegaaisolutions
"BTC, ETH",VRP,Russian Federation,"$30,000,000",No,,$0.1000,Ethereum,,,,United States,,"720,000,000",prosenselive,https://icowatchlist.com/ico/prosenselive
,NEU,Germany,,No,,$0.3600,Ethereum,,$0.12,,United States,,,neufund,https://icowatchlist.com/ico/neufund
,SPHTX,Switzerland,,No,,$0.5100,Blockchain,,$0.01,,United States,,,sophiatx,https://icowatchlist.com/ico/sophiatx
,,,,,,,,,,,,,,investy,https://icowatchlist.com/ico/investy
,CHX,Liechtenstein,,No,,$0.0000,Ethereum,,,,United States,,,chainium,https://icowatchlist.com/ico/chainium
,MAT,Unknown,,No,,$3.0000,Ethereum,,$0.02,,United States,,,miniappspro,https://icowatchlist.com/ico/miniappspro
,DEAL,United States,,No,,$15.0000,Ethereum,,,,United States,,,foreground,https://icowatchlist.com/ico/foreground
,ICS,Russian Federation,,No,,$250.0000,Ethereum,,,,United States,,,novacool,https://icowatchlist.com/ico/novacool
,CNT,Russian Federation,,No,,$0.8500,Ethereum,,$0.01,,United States,,,connectius,https://icowatchlist.com/ico/connectius
,RST,Liechtenstein,,No,,$30.0000,Ethereum,,,,United States,,,regarisksharing,https://icowatchlist.com/ico/regarisksharing
,PTC,United Kingdom,,No,,$0.1800,Ethereum,,$0.00,,United States,,,propthereum,https://icowatchlist.com/ico/propthereum
,ESC,Ukraine,,No,,$0.1500,Ethereum,,$0.00,,United States,,,ethersport,https://icowatchlist.com/ico/ethersport
,IDH,Poland,,No,,$0.0670,Ethereum,,$0.00,,United States,,,indahash,https://icowatchlist.com/ico/indahash
,DEB,Lithuania,,No,,$0.1250,Ethereum,,$0.00,,United States,,,debitumnetwork,https://icowatchlist.com/ico/debitumnetwork
,,,,,,,,,,,,,,kevin,https://icowatchlist.com/ico/kevin
BTC,DAC,Switzerland,"$87,700,000",No,,$0.8100,Blockchain,,,,"United States, China, Singapore","$20,000,000","12,000,000,000",hdac,https://icowatchlist.com/ico/hdac
,HIG,Canada,,No,,$3.0000,Ethereum,,,,United States,,,ethereumhigh,https://icowatchlist.com/ico/ethereumhigh
,BINARY,Unknown,,No,,$1.3500,Ethereum,,,,United States,,,binarycom,https://icowatchlist.com/ico/binarycom
,SRN,Switzerland,,No,,$0.9000,Ethereum,,$0.03,-96.11%,United States,"$157,885,825",,finney,https://icowatchlist.com/ico/finney
,REM,Ukraine,,No,,$0.0000,Ethereum,,$0.02,,United States,"$17,500,000",,remme,https://icowatchlist.com/ico/remme
,INS,Russian Federation,,No,,$1.0000,Ethereum,,$0.31,,United States,,,insecosystem,https://icowatchlist.com/ico/insecosystem
,PEF,Switzerland,,No,,$300.0000,Ethereum,,,,United States,,,prosumeenergy,https://icowatchlist.com/ico/prosumeenergy
,CAN,Australia,,No,,$0.4615,Ethereum,,$0.02,,United States,,,canya,https://icowatchlist.com/ico/canya
,DES,Estonia,,No,,$0.3000,Ethereum,,$0.02,,United States,,,decentralizedescrow,https://icowatchlist.com/ico/decentralizedescrow
ETH,LEND,Estonia,"$17,900,000",No,,$0.0200,Ethereum,,$0.01,-52.26%,United States,"$17,860,000","1,300,000,000",ethlend,https://icowatchlist.com/ico/ethlend
,BKX,Cayman Islands,,No,,$0.6000,Ethereum,,$0.02,,United States,,,bankex,https://icowatchlist.com/ico/bankex
,SIG,United States,,No,,$0.5000,Ethereum,,,,United States,,,spectiv,https://icowatchlist.com/ico/spectiv
,NAU,Cayman Islands,,No,,$0.0400,Ethereum,,,,United States,,,nau,https://icowatchlist.com/ico/nau
,PMT,Russian Federation,,No,,$35.0000,Ethereum,,,,United States,,,daoplaymarket20,https://icowatchlist.com/ico/daoplaymarket20
,LHC,Russian Federation,,No,,$0.1000,Ethereum,,$0.01,,United States,,,lhcrypto,https://icowatchlist.com/ico/lhcrypto
,LST,Russian Federation,,No,,$0.0750,Ethereum,,$0.00,,United States,,,liveshow,https://icowatchlist.com/ico/liveshow
,STY,Switzerland,,No,,$0.1020,Ethereum,,,,United States,,,styras,https://icowatchlist.com/ico/styras
,DMC,Russian Federation,,No,,$66.0000,Ethereum,,$0.00,,United States,,,odmcoin,https://icowatchlist.com/ico/odmcoin
,FDM,Cayman Islands,,No,,$0.0250,Ethereum,,$0.00,,United States,,,freedomstreaming,https://icowatchlist.com/ico/freedomstreaming
,FPT,Afghanistan,,No,,$0.1000,Ethereum,,,,United States,,,familypoints,https://icowatchlist.com/ico/familypoints
,CIX,Costa Rica,,No,,$0.3400,Ethereum,,$0.00,-98.98%,United States,"$110,000",,cryptonetix,https://icowatchlist.com/ico/cryptonetix
,,,,,,,,,,,,,,fantasymarket,https://icowatchlist.com/ico/fantasymarket
,LOL,United States,,No,,$0.2000,Bitcoin Fork,,,,United States,,,loanorlease,https://icowatchlist.com/ico/loanorlease
,TIO,Switzerland,,No,,$0.5600,Ethereum,,$0.01,-98.78%,United States,"$31,000,000",,tradeio,https://icowatchlist.com/ico/tradeio
,CABS,Luxembourg,,No,,$150.0000,Ethereum,,,,United States,,,cybertrust,https://icowatchlist.com/ico/cybertrust
,BTF,United States,,No,,$0.0510,Ethereum,,,,United States,,,blockchaintradedfund,https://icowatchlist.com/ico/blockchaintradedfund
,UCASH,Canada,,No,,$0.0100,Ethereum,,$0.00,,United States,,,ucash,https://icowatchlist.com/ico/ucash
,STARS,United Kingdom,,No,,$0.0000,Ethereum,,,,United States,,,starsgroup,https://icowatchlist.com/ico/starsgroup
,CHSB,Switzerland,"$50,000,000",No,,$0.0900,Ethereum,,$0.01,,United States,,"620,000,000",swissborg,https://icowatchlist.com/ico/swissborg
,LOAN,Gibraltar,,No,,$0.0000,Ethereum,,,,United States,,,lendoit,https://icowatchlist.com/ico/lendoit
,CRYPT,Estonia,,No,,$0.4800,Ethereum,,$0.03,,United States,,"99,983,577",crypterium,https://icowatchlist.com/ico/crypterium
,EVN,Switzerland,,No,,$1.0000,Ethereum,,$0.07,,United States,,,envionevn,https://icowatchlist.com/ico/envionevn
,GAT,Hong Kong,,No,,$0.0450,Ethereum,,$0.00,-96.30%,United States,"$40,360,000",,gatcoin,https://icowatchlist.com/ico/gatcoin
,COV,Gibraltar,,No,,$0.8700,Ethereum,,$0.10,,United States,,,covesting,https://icowatchlist.com/ico/covesting
,APPC,Singapore,,No,,$0.1960,Ethereum,,$0.08,,United States,,,appcoin,https://icowatchlist.com/ico/appcoin
USD,TZRO,United States,"$250,000,000",No,,$10.0000,Blockchain,,,,United States,"$250,000,000","250,000,000",tzero,https://icowatchlist.com/ico/tzero
,SLRM,United States,,No,,$0.7000,Ethereum,,,,United States,,,solareum,https://icowatchlist.com/ico/solareum
,TRF,Hong Kong,,No,,$0.2800,Other,,$0.00,,United States,,,travelflexcoin,https://icowatchlist.com/ico/travelflexcoin
BTC,ELA,China,"$94,100,000",No,,$18.0900,Blockchain,,$2.78,-84.63%,United States,"$94,073,200","33,000,000",elastos,https://icowatchlist.com/ico/elastos
,HCT,United States,,No,,$1.0000,Ethereum,,,,United States,,,realestatecoupon,https://icowatchlist.com/ico/realestatecoupon
,BDG,Lithuania,,No,,$0.0300,Ethereum,,$0.00,,United States,,,bitdegree,https://icowatchlist.com/ico/bitdegree
,EDU,United States,,No,,$0.1000,Ethereum,,,,United States,"$10,500,000",,liveedu,https://icowatchlist.com/ico/liveedu
,REALESTATE,Australia,,No,,$4.5000,Ethereum,,,,United States,,,propify,https://icowatchlist.com/ico/propify
,JNT,Switzerland,,No,,$0.2000,Ethereum,,$0.05,,United States,,,jibrelnetwork,https://icowatchlist.com/ico/jibrelnetwork
ETH,POLY,Canada,,No,,$0.0000,Blockchain,,$0.12,,United States,,"1,000,000,000",polymath,https://icowatchlist.com/ico/polymath
"ETH, BTC, LTC, BCH, DASH",STQ,Russian Federation,"$25,000,000",No,,$0.0000,Blockchain,,$0.00,,United States,"$25,000,000","1,500,000",storiqa,https://icowatchlist.com/ico/storiqa
,FLP,United States,,No,,$2.2500,Ethereum,,$0.01,,United States,,,gameflip,https://icowatchlist.com/ico/gameflip
,VIT,United Kingdom,,No,,$0.9000,Ethereum,,$0.00,,United States,,,vimarket,https://icowatchlist.com/ico/vimarket
,PINNS,United States,,No,,$0.0000,Ethereum,,,,United States,,,pocketinns,https://icowatchlist.com/ico/pocketinns
ETH,KIND,Panama,,No,Yes,$0.6000,Ethereum,,,,United States,"$20,000,000","61,000,000",kind-ads,https://icowatchlist.com/ico/kind-ads
,WIZ,Estonia,"$7,220,000",No,,$1.0000,Ethereum,,$0.01,,United States,,,crowdwiz,https://icowatchlist.com/ico/crowdwiz
,BEE,United States,"$15,000,000",Yes,Yes,$0.1400,Ethereum,,,,United States,"$10,000,000","15,000,000",the-bee-token,https://icowatchlist.com/ico/the-bee-token
,SHIP,United States,,No,,$0.3400,Ethereum,,$0.01,,United States,,,shipchain,https://icowatchlist.com/ico/shipchain
,SHPING,Australia,,No,,$0.0100,Ethereum,,,,United States,,,shping,https://icowatchlist.com/ico/shping
,,,,,,,,,,,,,,iungo,https://icowatchlist.com/ico/iungo
,UST,Russian Federation,,No,,$0.2350,Ethereum,,,,United States,"$23,829,663",,uservice,https://icowatchlist.com/ico/uservice
,AID,Switzerland,,No,,$0.4500,Ethereum,,$0.06,,United States,,,aidcoin,https://icowatchlist.com/ico/aidcoin
,ETK,United Kingdom,,No,Yes,$0.0300,Ethereum,January 9th 2018 To February 1st 2018,,,United States,"$26,000,000","2,300,000,000",energitoken,https://icowatchlist.com/ico/energitoken
ETH,WPR,Gibraltar,"$40,000,000",No,,$0.1300,Ethereum,September 22nd 2017 To February 2nd 2018,$0.01,-89.22%,United States,"$40,000,000","80,000,000",wepower,https://icowatchlist.com/ico/wepower
,INSP,Russian Federation,,No,,$1.0000,Ethereum,,,,United States,,,inspeer,https://icowatchlist.com/ico/inspeer
,SHP,Hong Kong,,No,,$0.1500,Ethereum,,$0.03,-78.95%,United States,"$7,100,000",,sharpecapital,https://icowatchlist.com/ico/sharpecapital
,ESCAPE,Russian Federation,,No,,$1.0000,Ethereum,,,,United States,,,escapetoken,https://icowatchlist.com/ico/escapetoken
ETH,ABT,United States,"$45,000,000",No,,$0.5000,Ethereum,,$0.19,-61.08%,United States,"$45,000,000","186,000,000",arcblock,https://icowatchlist.com/ico/arcblock
,FSN,Singapore,,No,,$2.5000,Ethereum,,$0.50,,United States,,,fusion,https://icowatchlist.com/ico/fusion
,SCR,Belarus,,No,,$1.0000,Other,,,,United States,,,scorum,https://icowatchlist.com/ico/scorum
,3DT,United Kingdom,,No,,$0.5000,Ethereum,,,,United States,,,3dtoken,https://icowatchlist.com/ico/3dtoken
,MWAT,Romania,,No,,$0.1000,Ethereum,,$0.01,,United States,,,redmegawattmwat,https://icowatchlist.com/ico/redmegawattmwat
,SKRP,United States,,No,,$0.3000,Ethereum,,,,United States,,,skraps,https://icowatchlist.com/ico/skraps
,DTH,France,,No,,$0.2300,Ethereum,,$0.01,,United States,,,dether,https://icowatchlist.com/ico/dether
,DIGIT,Thailand,,No,,$1.0000,Other,,,,United States,,,digitcoin,https://icowatchlist.com/ico/digitcoin
,IBET,Malta,,No,,$0.1200,Ethereum,,,,United States,,,cryptoibet,https://icowatchlist.com/ico/cryptoibet
,BMK,Switzerland,,No,,$0.0375,Ethereum,,,,United States,,,bmarkt,https://icowatchlist.com/ico/bmarkt
"ETH, BTC",FXT,"Korea, Republic of","$36,200,000",No,,$0.0800,Ethereum,,,,United States,"$36,241,600","1,060,000,000",fuzex,https://icowatchlist.com/ico/fuzex
,MAN,Hong Kong,,No,,$0.3600,Not Available,,$0.53,,United States,,,matrix,https://icowatchlist.com/ico/matrix
,KRI,Australia,,No,,$0.1000,Ethereum,,,,United States,,,krios,https://icowatchlist.com/ico/krios
"BTC, ETH",REN,Singapore,"$53,000,000",No,,$0.0500,Ethereum,,,,United States,"$30,500,000","602,000,000",republic-protocol,https://icowatchlist.com/ico/republic-protocol
,VB,United States,,No,,$0.0100,Ethereum,,,,United States,,,vaultbank,https://icowatchlist.com/ico/vaultbank
,CLN,Israel,,No,,$0.0000,Ethereum,,,,United States,,,colulocalnetwork,https://icowatchlist.com/ico/colulocalnetwork
,OTG,France,,No,,$0.1000,Ethereum,,,,United States,,,outing,https://icowatchlist.com/ico/outing
,BTD,United Kingdom,,No,,$1.0000,Ethereum,,$0.75,,United States,,,bitroad,https://icowatchlist.com/ico/bitroad
,TKLN,Singapore,,No,,$0.0300,Ethereum,,,,United States,,,taklimakannetwork,https://icowatchlist.com/ico/taklimakannetwork
"ETH, USD",BAX,United Kingdom,"$20,000,000",No,,$0.0012,Ethereum,,$0.00,-84.17%,United States,"$20,000,000","50,000,000,000",babb,https://icowatchlist.com/ico/babb
,BFC,United Kingdom,,No,,$9.0000,Ethereum,,,,United States,,,biofactorycoin,https://icowatchlist.com/ico/biofactorycoin
,CTN,United Kingdom,,No,,$1.0000,Ethereum,,,,United States,,,cryptotrustnetwork,https://icowatchlist.com/ico/cryptotrustnetwork
,LWF,Italy,,No,,$0.0000,Other,,,,United States,,,localworldforwarders,https://icowatchlist.com/ico/localworldforwarders
ETH,OCN,Singapore,"$47,600,000",No,,$0.0100,Ethereum,,,,United States,"$50,000,000","10,000,000,000",odyssey,https://icowatchlist.com/ico/odyssey
,iRMC,Russian Federation,,No,,$0.7800,Ethereum,,,,United States,,,remechain,https://icowatchlist.com/ico/remechain
,HQX,United Kingdom,,No,,$0.0600,Ethereum,,$0.01,,United States,,,hoqu,https://icowatchlist.com/ico/hoqu
,PIP,Spain,,No,,$0.5000,Ethereum,,,,United States,,,paypro,https://icowatchlist.com/ico/paypro
,SSH,United States,,No,,$0.0000,Ethereum,,,,United States,,,streamspace,https://icowatchlist.com/ico/streamspace
ETH,MRK,Singapore,,No,,$0.1000,Ethereum,,$0.01,,United States,,,markspace,https://icowatchlist.com/ico/markspace
,RSN,Estonia,,No,,$11.7400,Ethereum,,,,United States,,,raison,https://icowatchlist.com/ico/raison
,BERRY,United States,,No,,$0.1800,Ethereum,,$0.00,,United States,,,rentberry,https://icowatchlist.com/ico/rentberry
,,,,,,,,,,,,,,stockchainglobal,https://icowatchlist.com/ico/stockchainglobal
,MLT,Argentina,,No,,$12.0000,Ethereum,,,,United States,,,multigames,https://icowatchlist.com/ico/multigames
,HUR,Canada,,Yes,Yes,$0.1500,Ethereum,,,,United States,,"273,125,000",hurify,https://icowatchlist.com/ico/hurify
ETH,CcS,Japan,,Yes,Yes,$0.3600,Ethereum,,,,United States,,"100,000,000",cacaoshares,https://icowatchlist.com/ico/cacaoshares
,CID,Virgin Islands (British),,No,,$1.0000,Ethereum,,,,United States,,,chainid,https://icowatchlist.com/ico/chainid
,DADI,United Kingdom,,No,,$0.2500,Ethereum,,$0.04,,United States,,,dadi,https://icowatchlist.com/ico/dadi
,LNC,Austria,,No,,$0.0830,Ethereum,,$0.00,-95.17%,United States,"$5,400,000",,blocklancer,https://icowatchlist.com/ico/blocklancer
"BTC, ETH, USD",BBCoin,United States,"$52,000,000",No,,$0.1200,Ethereum,December 26th 2017 To February 1st 2018,,,United States,"$33,000,000","1,000,000,000",tradove,https://icowatchlist.com/ico/tradove
,,,,,,,,,,,,,,volinex,https://icowatchlist.com/ico/volinex
,LCD,Singapore,,No,,$0.2500,Ethereum,,,,United States,,,lucyd,https://icowatchlist.com/ico/lucyd
ETH,DATx,Singapore,,No,,$0.0400,Ethereum,,,,United States,,"10,000,000,000",datx,https://icowatchlist.com/ico/datx
