Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
"BTC, ETH",NKL,Australia,,Yes,,$0.4000,Ethereum,April 12th 2018 To April 23rd 2018,,,United States,,"40,000,000",nickelcoin,https://icowatchlist.com/ico/nickelcoin
ETH,ITM,United Kingdom,,Yes,Yes,$1.0000,Ethereum,,,,United States,,"100,000,000",intimateio,https://icowatchlist.com/ico/intimateio
ETH,ELI,Slovenia,,No,,$0.1000,Ethereum,March 20th 2018 To April 10th 2018,,,United States,,"500,000,000",eligma,https://icowatchlist.com/ico/eligma
"BTC, ETH, LTC, ETC, BCH",PAT,Japan,,No,Yes,$0.1400,Ethereum,,,,United States,,"400,000,000",patron,https://icowatchlist.com/ico/patron
"ETH, USD, EUR",MVP,United Kingdom,,No,,$0.1700,Ethereum,,,,United States,,"500,000,000",blocside-sports,https://icowatchlist.com/ico/blocside-sports
,,,,,,,,,,,,,,nexusless,https://icowatchlist.com/ico/nexusless
"BTC, ETH, USD",OMX,Isle of Man,,No,Yes,$0.1000,Ethereum,April 16th 2018 To April 27th 2018,,,United States,"$35,000,000",,shivom,https://icowatchlist.com/ico/shivom
ETH,PLAT,United States,,No,,$0.0100,Ethereum,,,,United States,,"10,000,000,000",bitguild,https://icowatchlist.com/ico/bitguild
"BTC, ETH, LTC",LNS,Brazil,,No,Yes,$0.0100,Other,February 25th 2018 To March 30th 2018,,,United States,,"600,000,000",lunes-platform,https://icowatchlist.com/ico/lunes-platform
"BTC, ETH",AMBT,Georgia,,Yes,,$0.5000,Ethereum,April 10th 2018 To April 17th 2018,,,United States,,"104,000,000",ambit,https://icowatchlist.com/ico/ambit
"BTC, ETH",Arcona,Gibraltar,,No,,$1.0000,Ethereum,,,,United States,,"125,000,000",arcona,https://icowatchlist.com/ico/arcona
,eFIC,United States,,No,,$0.1000,Ethereum,,,,United States,,,ficnetwork,https://icowatchlist.com/ico/ficnetwork
ETH,EMAC,Bulgaria,,No,Yes,$0.0500,Other,,,,United States,,"363,000,000",emarketchain,https://icowatchlist.com/ico/emarketchain
,BBT,Gibraltar,,No,,$0.6000,Ethereum,,$0.01,,United States,,"320,000,000",brickblock,https://icowatchlist.com/ico/brickblock
"BTC, ETH, LTC, USD, DASH, XRP, XMR, ETC",CRGO,United Kingdom,,Yes,,$0.5000,Ethereum,April 1st 2018 To April 15th 2018,,,United States,,"100,000,000",cargocoin,https://icowatchlist.com/ico/cargocoin
"BTC, ETH",SPD,United Kingdom,,No,,$0.1650,Ethereum,,$0.00,,United States,,"10,000,000,000",spindle,https://icowatchlist.com/ico/spindle
,RLTY,United States,,No,,$0.8000,Ethereum,January 15th 2018 To February 14th 2018,,,United States,,"500,000,000",smartrealty,https://icowatchlist.com/ico/smartrealty
"BTC, ETH, LTC, DASH, BCH, XMR, XRP, ETC",WPT,Switzerland,,No,Yes,$0.1200,Ethereum,April 2nd 2018 To April 23rd 2018,,,United States,,"200,000,000",worldopoly,https://icowatchlist.com/ico/worldopoly
,STT,Switzerland,,No,,$1.0000,Ethereum,,,,United States,,,synthestech,https://icowatchlist.com/ico/synthestech
,WT,Singapore,,No,Yes,$0.1000,Ethereum,November 28th 2017 To April 16th 2018,,,United States,,"600,000,000",worldwifi,https://icowatchlist.com/ico/worldwifi
"BTC, ETH, DASH, BCH",GOL,Serbia,,No,Yes,$0.5380,Ethereum,March 20th 2018 To April 8th 2018,,,United States,,"32,300,000",goldiam,https://icowatchlist.com/ico/goldiam
,DREAM,Ukraine,"$21,000,000",No,,$0.1500,Ethereum,,$0.07,-53.79%,United States,"$10,000,000",,dreamteam,https://icowatchlist.com/ico/dreamteam
,MIRA,Singapore,,No,,$1.0000,Ethereum,,,,United States,,,mira,https://icowatchlist.com/ico/mira
"BTC, ETH",FRYA,Switzerland,,No,Yes,$0.0900,Ethereum,,,,United States,,"100,000,000",frya,https://icowatchlist.com/ico/frya
ETH,WEM,Latvia,,No,,$0.7000,Ethereum,,,,United States,,"34,000,000",windenergymining,https://icowatchlist.com/ico/windenergymining
,UBT,Germany,"$13,542,375",No,,$0.1400,Ethereum,,,,United States,,"150,000,000",unibright,https://icowatchlist.com/ico/unibright
ETH,LIKE,Hong Kong,,No,Yes,$0.0100,Ethereum,,,,United States,"$5,407,016","2,000,000,000",likecoin,https://icowatchlist.com/ico/likecoin
"BTC, ETH",CMCT,Cayman Islands,,No,Yes,$0.0000,Ethereum,February 1st 2018 To March 31st 2018,,,"United States, Cuba, Iran (Islamic Republic of), Korea, Republic of, Lebanon, Libyan Arab Jamahiriya, Somalia, Sudan, Syrian Arab Republic",,"2,000,000,000",crowd-machine,https://icowatchlist.com/ico/crowd-machine
,RTC,Hong Kong,,No,Yes,$0.1000,Ethereum,February 28th 2018 To March 28th 2018,,,United States,,"50,000,000",renything,https://icowatchlist.com/ico/renything
ETH,MVL,Singapore,,No,,$0.0033,Ethereum,April 26th 2018 To May 11th 2018,,,United States,,"30,000,000,000",mass-vehicle-ledger,https://icowatchlist.com/ico/mass-vehicle-ledger
ETH,GAI,Virgin Islands (British),,No,Yes,$0.1000,Ethereum,,,,United States,,"100,000,000",graphgrail-ai,https://icowatchlist.com/ico/graphgrail-ai
,SMOKE,Belize,,No,Yes,$0.1000,Other,,$0.04,,United States,,"350,000,000",smoke,https://icowatchlist.com/ico/smoke
"BTC, ETH",BUNNY,Seychelles,,No,Yes,$0.0900,Ethereum,March 13th 2018 To April 24th 2018,,,United States,,"1,000,000,000",bunnytoken,https://icowatchlist.com/ico/bunnytoken
ETH,MMTM,Switzerland,,Yes,Yes,$0.1200,Ethereum,February 16th 2018 To March 23rd 2018,,,United States,,"1,000,000,000",mobilebridge,https://icowatchlist.com/ico/mobilebridge
ETH,CADV,Switzerland,,Yes,Yes,$0.7000,Ethereum,,,,United States,,"25,000,000",coinadvisor,https://icowatchlist.com/ico/coinadvisor
"BTC, ETH, USD",TSR,Switzerland,,No,Yes,$0.3000,Ethereum,,,,United States,,"100,000,000",transcrypt,https://icowatchlist.com/ico/transcrypt
"BTC, ETH, LTC, DASH, XMR",XSO,Panama,,No,Yes,$0.8000,Other,,,,United States,,"50,000,000",xsolus,https://icowatchlist.com/ico/xsolus
"BTC, ETH",DTC,Belize,,No,Yes,$0.1870,Ethereum,,,,"United States, China",,"290,769,231",datecoin,https://icowatchlist.com/ico/datecoin
ETH,ADBL,United Kingdom,,No,,$0.1000,Ethereum,March 1st 2018 To March 30th 2018,,,United States,,"100,000,000",adblurb,https://icowatchlist.com/ico/adblurb
"BTC, ETH, BCH",ZFL,Estonia,,No,,$0.3600,Ethereum,February 22nd 2018 To April 30th 2018,,,United States,,"500,000,000",zufloio,https://icowatchlist.com/ico/zufloio
ETH,IRYO,Slovenia,,No,Yes,$0.1100,Other,March 28th 2018 To April 4th 2018,,,United States,"$15,800,000","300,000,000",iryo,https://icowatchlist.com/ico/iryo
ETH,GOC,United States,,Yes,Yes,$0.0200,Ethereum,May 1st 2018 To May 15th 2018,,,United States,"$18,209,475","1,000,000,000",gochain,https://icowatchlist.com/ico/gochain
,DIW,Marshall Islands,,Yes,,$0.0700,Ethereum,March 6th 2018 To March 20th 2018,,,United States,,"1,000,000,000",diw-token,https://icowatchlist.com/ico/diw-token
"BTC, ETH",BIRD,Estonia,,No,Yes,$0.0140,Ethereum,,,,United States,,"580,263,158",birdchain,https://icowatchlist.com/ico/birdchain
ETH,JOI,Thailand,,No,,$0.0900,Ethereum,March 1st 2018 To April 15th 2018,,,United States,,"270,000,000",jointedu,https://icowatchlist.com/ico/jointedu
"BTC, ETH, LTC",BTF,United Kingdom,,No,,$0.0800,Ethereum,March 5th 2018 To March 31st 2018,,,United States,,"250,000,000",bitrust,https://icowatchlist.com/ico/bitrust
"BTC, ETH, LTC, USD, EUR",BPS,Russian Federation,,No,Yes,$0.2500,Ethereum,March 30th 2018 To April 15th 2018,,,United States,,"80,000,000",bitproperty,https://icowatchlist.com/ico/bitproperty
"BTC, LTC, ETH, DASH, BCH",A2A,Saint Vincent and the Grenadines,,No,Yes,$0.1200,Ethereum,,,,United States,,"500,000,000",stex-exchange,https://icowatchlist.com/ico/stex-exchange
"BTC, ETH",CUZ,Israel,,No,Yes,$0.1590,Ethereum,,,,United States,,"300,000,000",cool-cousin,https://icowatchlist.com/ico/cool-cousin
"BTC, ETH, LTC, USD",SLT,Singapore,,No,,$0.8000,Other,,,,"United States, Afghanistan, Belarus, Congo, Iraq, Korea, Democratic People's Republic of, Liberia, Sudan, Syrian Arab Republic",,"100,000,000",successlife,https://icowatchlist.com/ico/successlife
,FAN,United States,,Yes,Yes,$0.0500,Ethereum,January 29th 2018 To February 28th 2018,,,United States,,"1,000,000,000",fcfl,https://icowatchlist.com/ico/fcfl
"BTC, ETH, LTC, USD, EUR, BCH, DASH",VIC,Ireland,,No,,$0.8000,Ethereum,February 1st 2018 To February 28th 2018,,,United States,,"800,000,000",virtonomics,https://icowatchlist.com/ico/virtonomics
,TNS,United Kingdom,,No,,$0.3760,Ethereum,,$0.00,,United States,,,transcodium,https://icowatchlist.com/ico/transcodium
"BTC, ETH",GMBC,Malta,,Yes,,$0.0900,Ethereum,,,,United States,,"840,000,000",gamblica,https://icowatchlist.com/ico/gamblica
"BTC, ETH, USD",BMT,United States,,Yes,Yes,$0.0200,Ethereum,,,,United States,,"3,500,000,000",bitminutes,https://icowatchlist.com/ico/bitminutes
ETH,KNT,Hong Kong,,No,Yes,$0.1000,Ethereum,March 5th 2018 To March 25th 2018,$0.00,-96.47%,United States,"$12,000,000","712,500,000",koranetwork,https://icowatchlist.com/ico/koranetwork
,EOS,Unknown,,No,,$0.0000,Ethereum,,$4.29,,United States,"$4,100,000,000","10,000,000,000",eos,https://icowatchlist.com/ico/eos
,SAF,Russian Federation,,No,,$1.0000,Ethereum,January 23rd 2018 To February 14th 2018,,,United States,,,safinus,https://icowatchlist.com/ico/safinus
,ETA,Switzerland,,No,,$0.0000,Ethereum,,,,United States,,"75,000,000,000",etheera,https://icowatchlist.com/ico/etheera
"BTC, ETH",CC,Austria,,No,Yes,$0.0150,Ethereum,February 26th 2018 To March 4th 2018,,,United States,,"1,500,000,000",cultural-places,https://icowatchlist.com/ico/cultural-places
ETH,SQoin,Lithuania,,No,Yes,$0.0340,Ethereum,,,,United States,,"350,000,000",stasyq,https://icowatchlist.com/ico/stasyq
,TOPIA,United States,,No,,$1.0000,Ethereum,,,,United States,,,topiacoin,https://icowatchlist.com/ico/topiacoin
"BTC, ETH, LTC, BCH",IMT,United Kingdom,,No,Yes,$0.0050,Ethereum,March 22nd 2018 To May 1st 2018,,,United States,,"22,500,000,000",moneytoken,https://icowatchlist.com/ico/moneytoken
"BTC, ETH, BCH",COIL,United States,,Yes,Yes,$0.0500,Ethereum,February 23rd 2018 To March 23rd 2018,,,United States,,"2,000,000,000",coinoil,https://icowatchlist.com/ico/coinoil
"BTC, ETH, LTC",WRT,Norway,,No,,$0.1300,Ethereum,May 7th 2018 To May 14th 2018,,,United States,,"190,000,000",white-rabbit,https://icowatchlist.com/ico/white-rabbit
"ETH, BTC, BCH, LTC, ETC, DASH",MTV,Belarus,,Yes,,$1.0000,Other,March 1st 2018 To March 31st 2018,,,United States,,"141,000,000",multiversum,https://icowatchlist.com/ico/multiversum
"ETH, BTC, LTC",GIF,Bulgaria,,No,Yes,$0.0900,Ethereum,February 22nd 2018 To March 15th 2018,,,United States,,"300,000,000",gifcoin,https://icowatchlist.com/ico/gifcoin
"BTC, ETH, LTC, ZEC",CRD,Hungary,,No,,$0.1730,Ethereum,April 23rd 2018 To May 7th 2018,,,United States,,"100,000,000",cryde,https://icowatchlist.com/ico/cryde
"ETH, BTC, USD",CRS,Ukraine,,No,Yes,$0.1000,Ethereum,,,,United States,,"247,000,000",crystals,https://icowatchlist.com/ico/crystals
ETH,ANK,Poland,,No,Yes,$0.0069,Ethereum,April 23rd 2018 To May 1st 2018,,,United States,,"1,000,000,000",airchain-network,https://icowatchlist.com/ico/airchain-network
ETH,FLIX,Barbados,,No,Yes,$0.4000,Ethereum,,,,United States,,"100,000,000",cryptoflix,https://icowatchlist.com/ico/cryptoflix
ETH,BINK,United States,,Yes,Yes,$0.1000,Ethereum,March 15th 2018 To March 15th 2018,,,United States,,"625,000,000",binkd,https://icowatchlist.com/ico/binkd
ETH,BHM,France,,No,,$0.0500,Ethereum,,,,United States,,"110,000,000",bhom,https://icowatchlist.com/ico/bhom
,BRM,Belarus,,No,,$1.8000,Ethereum,,$0.01,,United States,,,bioritmai,https://icowatchlist.com/ico/bioritmai
ETH,BFDT,Singapore,,No,,$0.0700,Ethereum,,,,"United States, China",,"500,000,000",befund,https://icowatchlist.com/ico/befund
"BTC, ETH, USD, EUR",QYK,Singapore,,No,Yes,$0.0100,Ethereum,March 31st 2018 To April 22nd 2018,,,United States,,"6,000,000,000",qykbar,https://icowatchlist.com/ico/qykbar
"BTC, ETH, EUR, USD",TECT,Switzerland,,No,Yes,$1.0000,Ethereum,,,,United States,,"80,000,000",cryptectum,https://icowatchlist.com/ico/cryptectum
ETH,DACC,China,,No,Yes,$0.0028,Ethereum,,,,United States,,"30,000,000,000",decentralized-audio-content,https://icowatchlist.com/ico/decentralized-audio-content
"ETH, BTC",ETD,Australia,,No,Yes,$0.1200,Ethereum,,,,United States,,"200,000,000",earthmedz,https://icowatchlist.com/ico/earthmedz
"BTC, ETH",SOOM,Singapore,,No,,$0.0000,Other,,,,United States,,"1,438,000,000",soom-blockchain,https://icowatchlist.com/ico/soom-blockchain
,DEED,United States,,Yes,Yes,$1.5000,Ethereum,February 19th 2018 To March 19th 2018,,,United States,,"30,000,000",deedcoin,https://icowatchlist.com/ico/deedcoin
ETH,OAK,United Kingdom,,No,,$1.4000,Ethereum,,,,"United States, China","$26,150,000","25,000,000",acorn-collective,https://icowatchlist.com/ico/acorn-collective
ETH,WEE,Bulgaria,,No,Yes,$0.0700,Ethereum,March 26th 2018 To April 25th 2018,,,United States,,"1,100,000,000",weevocity,https://icowatchlist.com/ico/weevocity
"BTC, ETH, LTC, USD, EUR",CMA,Australia,,No,Yes,$0.2000,Ethereum,March 19th 2018 To April 16th 2018,,,United States,,"150,000,000",coin-mine-australia,https://icowatchlist.com/ico/coin-mine-australia
ETH,SAVG,United States,,No,,$0.0012,Ethereum,,,,United States,,"40,000,000,000",savage-token,https://icowatchlist.com/ico/savage-token
ETH,ICST,Singapore,,No,,$0.0500,Ethereum,,,,United States,"$2,480,000","900,000,000",icst,https://icowatchlist.com/ico/icst
ETH,PTH,Seychelles,,No,Yes,$0.1000,Ethereum,,,,United States,,"100,000,000",prether,https://icowatchlist.com/ico/prether
,ADM,Ireland,,No,Yes,$0.2400,Other,,,,United States,,"98,000,000",adamant-messenger,https://icowatchlist.com/ico/adamant-messenger
,WELL,United States,,No,,$0.1000,Ethereum,,$0.00,-96.70%,United States,"$15,960,000",,well,https://icowatchlist.com/ico/well
"BTC, ETH",TRW,Norway,,No,Yes,$0.0800,Ethereum,,,,United States,,"1,000,000,000",triwer,https://icowatchlist.com/ico/triwer
"ETH, BTC, LTC, DASH, EUR, USD, XRP",EQUI,United Kingdom,,No,,$0.5000,Ethereum,March 1st 2018 To March 15th 2018,,,United States,,"250,000,000",equi,https://icowatchlist.com/ico/equi
ETH,LTS,Chile,,No,,$0.0130,Ethereum,March 21st 2018 To April 21st 2018,,,United States,,"1,000,000,000",lotus-core,https://icowatchlist.com/ico/lotus-core
ETH,RAC,Malta,,No,,$10.0000,Ethereum,February 1st 2018 To April 19th 2018,,,United States,,"3,200,000",robet,https://icowatchlist.com/ico/robet
"BTC, ETH, USD, EUR",GREM+GRET,United Arab Emirates,,No,,$0.0700,Ethereum,May 1st 2018 To May 31st 2018,,,United States,"$14,000,000","275,000,000",global-reit,https://icowatchlist.com/ico/global-reit
"ETH, BTC, USD, EUR",GBT,Cayman Islands,,No,Yes,$0.0700,Ethereum,April 16th 2018 To May 31st 2018,,,"United States, Belarus, Burundi, Cayman Islands, Central African Republic, China, Cuba, Iran (Islamic Republic of), Korea, Republic of, Somalia, Sudan, Syrian Arab Republic, Zimbabwe",,"1,000,000,000",globatalent,https://icowatchlist.com/ico/globatalent
"BTC, ETH, USD, EUR",KON,Switzerland,,No,,$0.0100,Ethereum,March 1st 2018 To March 31st 2018,,,United States,,"5,000,000,000",konios,https://icowatchlist.com/ico/konios
ETH,AST,Israel,,No,,$0.8000,Ethereum,April 15th 2018 To April 30th 2018,,,United States,,"50,000,000",all-stocks-network,https://icowatchlist.com/ico/all-stocks-network
,CHIP,Malta,,No,,$0.0100,Ethereum,February 10th 2018 To April 30th 2018,$0.00,,United States,,,realcasino,https://icowatchlist.com/ico/realcasino
,PGC,United States,,No,Yes,$1.0000,Other,December 25th 2017 To February 28th 2018,,,United States,,"151,750,000",paygine,https://icowatchlist.com/ico/paygine
ETH,TCH,China,,No,,$0.0500,Ethereum,,,,United States,,"500,000,000",teacher-coin,https://icowatchlist.com/ico/teacher-coin
ETH,TBT,Australia,,No,,$0.0900,Ethereum,March 21st 2018 To April 24th 2018,,,United States,,"700,000,000",tripbit,https://icowatchlist.com/ico/tripbit
"BTC, ETH",WINS,Cyprus,,No,,$0.2000,Ethereum,,,,United States,,"150,000,000",winstars,https://icowatchlist.com/ico/winstars
ETH,DZC,Japan,,Yes,Yes,$0.0079,Ethereum,,,,United States,,"50,000,000,000",d-zone-coin,https://icowatchlist.com/ico/d-zone-coin
ETH,DTX,Belgium,,No,Yes,$0.2300,Ethereum,March 19th 2018 To March 25th 2018,,,United States,"$3,750,000","225,000,000",databroker-dao,https://icowatchlist.com/ico/databroker-dao
ETH,ESS,Switzerland,,Yes,Yes,$0.0430,Ethereum,March 15th 2018 To June 1st 2018,$0.00,-96.74%,"United States, China","$25,500,000","1,755,313,373",essentia,https://icowatchlist.com/ico/essentia
"BTC, ETH",CIF,Hong Kong,,No,,$0.8000,Ethereum,,,,United States,,"41,500,000",crowdif,https://icowatchlist.com/ico/crowdif
"BTC, ETH",XSE,Norway,,No,,$0.4000,Ethereum,May 9th 2018 To June 9th 2018,,,United States,,"30,000,000",xsearch,https://icowatchlist.com/ico/xsearch
ETH,DTT,United States,,No,Yes,$0.4000,Ethereum,April 14th 2018 To April 30th 2018,,,United States,,"600,000,000",delphi-technologies-token,https://icowatchlist.com/ico/delphi-technologies-token
ETH,NH,Denmark,,No,,$1.9200,Ethereum,,,,United States,,,nihilum,https://icowatchlist.com/ico/nihilum
"BTC, ETH, LTC",MDX,Cayman Islands,,No,Yes,$0.0700,Ethereum,April 21st 2018 To May 31st 2018,,,United States,"$18,200,000","400,000,000",mandala,https://icowatchlist.com/ico/mandala
ETH,FNT,Norway,,No,Yes,$0.0500,Ethereum,,,,United States,,"2,000,000,000",friendup,https://icowatchlist.com/ico/friendup
"BTC, ETH",ODY,France,,No,,$0.0000,Ethereum,April 15th 2018 To May 15th 2018,,,United States,,,odyfund,https://icowatchlist.com/ico/odyfund
"BTC, ETH, USD",VRN,Bulgaria,,No,Yes,$0.0850,Ethereum,May 15th 2018 To June 4th 2018,,,United States,,"1,000,000,000",vernam,https://icowatchlist.com/ico/vernam
"BTC, ETH",ABCS,United States,,No,,$1.0000,Ethereum,,,,United States,,"100,000,000",abacasxchange,https://icowatchlist.com/ico/abacasxchange
,BEAT,Germany,,No,Yes,$0.1200,Ethereum,January 23rd 2018 To February 20th 2018,,,United States,,"230,000,000,000",beat,https://icowatchlist.com/ico/beat
"BTC, ETH",KEP,Georgia,,No,,$1.2500,Ethereum,May 22nd 2018 To June 5th 2018,,,United States,"$7,800,000","100,000,000",kepler-technologies,https://icowatchlist.com/ico/kepler-technologies
ETH,FTEC,United Kingdom,,No,Yes,$0.0150,Ethereum,April 24th 2018 To May 22nd 2018,,,United States,,"998,400,000",ftec,https://icowatchlist.com/ico/ftec
"BTC, ETH, DASH, LTC",PERA,Singapore,,Yes,,$0.0100,Ethereum,May 30th 2018 To June 20th 2018,,,United States,,"2,100,000,000",payera,https://icowatchlist.com/ico/payera
ETH,LUK,Gibraltar,,No,Yes,$0.0400,Ethereum,April 30th 2018 To May 21st 2018,,,United States,,"1,000,000,000",luckchemy,https://icowatchlist.com/ico/luckchemy
ETH,GANA,Estonia,,No,,$0.0250,Ethereum,,,,"United States, Bolivia, China, Cuba, Ecuador, Indonesia, Iran (Islamic Republic of), Ivory Coast, Korea, Republic of, Lebanon, Morocco, Myanmar, Namibia, Nepal, Pakistan, Singapore, Syrian Arab Republic, Vietnam",,"2,400,000,000",gana,https://icowatchlist.com/ico/gana
,ATK,Russian Federation,,No,Yes,$1.0000,Graphene,February 25th 2018 To March 18th 2018,,,United States,,"60,187,847",iac-autounit,https://icowatchlist.com/ico/iac-autounit
ETH,TYPE,United Kingdom,,No,,$0.0100,Ethereum,May 21st 2018 To June 25th 2018,,,United States,,"2,000,000,000",typerium,https://icowatchlist.com/ico/typerium
"BTC, ETH",YUM,Virgin Islands (British),,No,Yes,$0.1000,Ethereum,,,,"United States, China","$3,000,000","818,274,853",yumerium,https://icowatchlist.com/ico/yumerium
"BTC, ETH",TTV,Germany,,No,Yes,$0.0700,Ethereum,,,,United States,,"666,666,667",tv-two,https://icowatchlist.com/ico/tv-two
ETH,REFER,Australia,,No,Yes,$0.0200,Ethereum,,,,United States,,"400,000,000",plentix,https://icowatchlist.com/ico/plentix
"BTC, XRP, ETH, BCH, DASH, LTC",CHBR,Brazil,,No,,$0.3000,Ethereum,,,,United States,,"100,000,000",criptohub,https://icowatchlist.com/ico/criptohub
,VLR,United States,"$15,000,000",No,,$1.5000,Ethereum,,$0.03,-97.69%,United States,"$19,110,000",,valoremfoundation,https://icowatchlist.com/ico/valoremfoundation
"BTC, ETH, BCH",COT,Venezuela,,Yes,,$0.5000,Other,,,,United States,,"10,000,000",coinet,https://icowatchlist.com/ico/coinet
,,,,,,,,,,,,,,iaqua,https://icowatchlist.com/ico/iaqua
